IPC_MSG_ID_LIST count: 1174
 12690 = HIDV3MicEffectTestProp.SubscribeMsgID
 12691 = HIDV3MicEffectTestProp.UnsubscribeMsgID
 12692 = HIDV3OTAMTUProp.GetMsgID
 12693 = HIDV3OTAMTUProp.NotifyMsgID
 12694 = HIDV3OTAMTUProp.GetRespMsgID
 12695 = HIDV3OTAMTUProp.SubscribeMsgID
 12696 = HIDV3OTAMTUProp.UnsubscribeMsgID
 12697 = FOTAFinishedProp.CommandMsgID
 12698 = FOTAStopOTANotifyProp.CommandMsgID
 12699 = FOTAStopOTANotifyAckProp.CommandMsgID
 12700 = HIDV3LightingStateProp.GetMsgID
 12701 = HIDV3LightingStateProp.SetMsgID
 12702 = HIDV3LightingStateProp.NotifyMsgID
 12703 = HIDV3LightingStateProp.GetRespMsgID
 12704 = HIDV3LightingStateProp.SubscribeMsgID
 12705 = HIDV3LightingStateProp.UnsubscribeMsgID
 12706 = HIDV3LightingInfoQueryProp.SetMsgID
 12707 = HIDV3LightingInfoProp.SetMsgID
 12708 = HIDV3EQInfoQueryProp.SetMsgID
 12709 = HIDV3EQInfoProp.SetMsgID
 12710 = HIDV3DesignEQRawDataProp.GetMsgID
